,Unit No.,Tower Name,Status,Last Contract End Date,Days Vacant,Last Known Rent,Sale Date (if any)
54,3202,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 30 Days,2025-06-06,,280000,
61,3215,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 30 Days,2025-06-22,,126000,
111,3913,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 30 Days,2025-06-07,,90000,
155,4413,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 30 Days,2025-06-30,,80000,
169,4613,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 30 Days,2025-06-19,,110000,
200,5007,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 30 Days,2025-06-14,,220000,
210,5107,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 30 Days,2025-06-14,,220000,
255,5703,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 30 Days,2025-06-30,,130000,
73,3410,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 60 Days,2025-07-31,,110000,
141,4307,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 60 Days,2025-07-31,,180000,
144,4312,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 60 Days,2025-07-23,,58032,
188,4813,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 60 Days,2025-08-02,,110000,
259,5708,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 60 Days,2025-07-19,,220000,
272,5902,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 60 Days,2025-07-06,,90000,
273,5903,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 60 Days,2025-07-21,,91036,
9,2701,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 90 Days,2025-08-11,,103000,
29,2815,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 90 Days,2025-08-06,,122000,
58,3210,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 90 Days,2025-08-24,,91000,
121,4013,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 90 Days,2025-08-31,,95000,
124,4107,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 90 Days,2025-08-11,,180000,
157,4507,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 90 Days,2025-09-01,,260000,
191,4907,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 90 Days,2025-08-09,,180000,
209,5106,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 90 Days,2025-08-20,,175000,
20,2803,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-04-06,,118000,2024-05-08
21,2804,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-08-05,,140000,2025-05-26
31,2903,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-09-26,,175000,2024-12-23
37,2911,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-04-24,,105000,2024-09-15
60,3213,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-06-30,,120000,2024-10-14
91,3608,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-10-25,,250000,2025-03-04
106,3905,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-03-31,,65334,2024-09-19
114,4004,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-09-14,,120000,2024-12-18
118,4009,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-11-13,,150000,2025-02-23
126,4111,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-10-01,,110000,2024-11-12
146,4401,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-01-19,,150000,2024-12-29
151,4408,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-04-30,,210000,2025-03-16
154,4412,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-12-29,,120000,2024-04-25
182,4803,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-08-11,,118000,2024-03-04
197,5002,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-10-07,,118000,2024-06-06
206,5102,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-09-01,,130000,2024-02-25
213,5110,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-06-30,,132000,2024-12-08
217,5202,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-09-24,,120000,2024-12-11
240,5413,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-12-30,,81000,2025-04-28
248,5512,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-04-30,,90000,2025-03-27
249,5512,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-04-30,,90000,2024-08-29
254,5702,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-12-29,,120000,2024-04-25
263,5805,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-09-20,,80000,2024-11-28
269,5812,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-10-06,,120000,2025-04-07
292,6209,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-10-09,,125000,2024-11-05
4,2610,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-10-12,,120000,
14,2709,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-10-10,,110000,
18,2715,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-04-02,,120000,
22,2805,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2024-09-03,,150000,
28,2814,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2024-10-10,,130000,
49,3109,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2024-05-31,,91350,
53,3201,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-02-05,,140000,
57,3209,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-11-30,,120000,
66,3310,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-04-09,,136000,
68,3315,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-11-18,,120000,
87,3515,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-11-08,,125000,
94,3705,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-05-19,,250000,
95,3706,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-01-22,,210000,
97,3801,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-01-29,,148000,
98,3803,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2024-08-31,,120000,
100,3806,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-03-07,,220000,
101,3808,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-11-12,,235000,
103,3901,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2024-08-30,,146000,
105,3904,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-06-15,,370000,
107,3907,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-02-22,,220000,
110,3912,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-09-14,,113000,
113,4003,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2024-06-18,,120000,
116,4007,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-03-31,,250000,
117,4008,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-02-23,,220000,
123,4106,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-11-05,,250000,
127,4112,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-11-03,,120000,
134,4207,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2027-02-25,,440000,
150,4407,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-04-21,,230000,
162,4601,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-01-10,,170000,
165,4606,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-10-05,,155000,
167,4608,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-04-16,,210000,
184,4806,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-04-17,,255000,
220,5206,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-02-11,,210000,
230,5308A,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-10-16,,78000,
231,5309,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2024-09-29,,125000000,
232,5312,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-05-24,,120000,
236,5408,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-03-23,,405000,
244,5508,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-03-09,,220000,
256,5705,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-02-09,,140000,
257,5705A,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-09-30,,130000,
261,5713,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-09-30,,130000,
262,5804,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-04-23,,58932,
265,5808,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-11-24,,100000,
270,5813,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-09-30,,100000,
274,5904,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-11-07,,135000,
275,5905A,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-10-30,,88000,
282,6002,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2024-07-16,,140000,
289,6106,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-09-30,,300000,
290,6112,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2026-08-18,,230000,
291,6208,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Rented),2025-10-09,,117945,
176,4709,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-01-09,146.0,175000,
0,2601,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-01-14,141.0,120000,
250,5513,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-01-16,139.0,110000,
26,2809,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-01-19,136.0,91000,
294,6213,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-01-28,127.0,120000,
55,3206,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-01-31,124.0,152250,
161,4511,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-02-01,123.0,130000,
276,5906,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-02-01,123.0,250000,
15,2711,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-02-04,120.0,175000,
33,2905,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-02-04,120.0,165000,
177,4711,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-02-04,120.0,165000,
138,4303,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-02-13,111.0,180000,
216,5201,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-02-15,109.0,170000,
239,5412,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-02-17,107.0,130000,
277,5908,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-03-09,87.0,205000,
108,3908,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-03-19,77.0,180000,
215,5113,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-03-19,77.0,90000,
78,3501,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-04-08,57.0,80000,
19,2801,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-04-19,46.0,100000,
8,2615,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-05-07,28.0,120000,
50,3110,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-05-31,4.0,100000,
135,4213,"Paramount Tower Hotel & Residences, Business Bay",Vacant,2025-05-31,4.0,85000,
163,4602,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-06-05,730.0,118000,
137,4302,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-06-09,726.0,115000,
264,5807,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-06-15,720.0,163000,
82,3507,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-06-18,717.0,150000,
149,4405,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-06-19,716.0,118000,
96,3707,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-06-24,711.0,145000,
156,4505,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-06-30,705.0,118000,
36,2910,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-07-07,698.0,82000,
203,5011,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-07-07,698.0,115000,
225,5213,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-07-07,698.0,85000,
80,3504,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-07-14,691.0,150000,
40,3001,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-07-25,680.0,81000,
99,3804,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-07-31,674.0,130000,
267,5810,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-08-03,671.0,120000,
59,3212,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-08-07,667.0,120000,
193,4910,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-08-10,664.0,137000,
237,5409,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-08-17,657.0,107500,
168,4612,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-08-23,651.0,81000,
181,4802,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-08-24,650.0,110000,
195,4913,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-09-01,642.0,85000,
47,3101,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-09-04,639.0,85000,
226,5301,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-09-10,633.0,150000,
228,5304,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-09-11,632.0,150000,
48,3107,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-09-14,629.0,130000,
120,4012,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-09-20,623.0,80000,
115,4006,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-09-22,621.0,175000,
119,4010,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-09-24,619.0,130000,
208,5104,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-09-26,617.0,122000,
186,4808,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-09-28,615.0,165000,
235,5403,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-09-29,614.0,118000,
143,4311,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-10-02,611.0,110000,
185,4807,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-10-04,609.0,150000,
204,5013,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-10-04,609.0,80000,
242,5505,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-10-04,609.0,160000,
223,5210,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-10-06,607.0,120000,
128,4113,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-10-07,606.0,80000,
147,4403,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-10-08,605.0,120000,
284,6007,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-10-09,604.0,210000,
201,5008,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2023-10-11,602.0,185000,
